Полицейска статистика 2024,,,,,,,,,,,
,,,,,,,,,,"Престъпления,",
,Благоевград,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,,,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,2632,874.02,1422,54.03,1288,176,93,58,293,286
1,Престъпления против личността (чл.115 - 159 НК),295,97.96,87,29.49,80,4,8,2,55,57
1.1.,Убийство (чл.115-127 НК),21,6.97,3,14.29,3,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",4,1.33,3,75,3,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.33,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",3,1,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),26,8.63,13,50,10,0,0,0,2,2
,· Блудство (чл.149 - 150 НК),13,4.32,8,61.54,6,0,0,0,1,1
,· Изнасилване (чл.152 НК) - довършено,3,1,1,33.33,1,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),2,0.66,1,50,1,0,0,0,1,1
,· Престъпен/хомосексуализъм (чл.157 НК),1,0.33,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),184,61.1,46,25,51,4,6,2,34,36
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",1,0.33,0,0,0,0,0,0,1,1
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",3,1,2,66.67,2,0,0,0,1,1
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),4,1.33,2,50,3,0,0,0,0,0
1.7.,Други против личността,57,18.93,21,36.84,15,0,2,0,18,18
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",948,314.81,489,51.58,415,95,58,21,65,55
2.1.,Грабеж (чл.198 - 200 НК),16,5.31,8,50,11,0,4,0,3,3
,· въоръжен грабеж,1,0.33,1,100,1,0,1,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),644,213.86,362,56.21,303,72,39,12,35,34
,· джебчийска,12,3.98,12,100,13,6,1,0,0,0
,· взломна,31,10.29,10,32.26,13,1,4,0,2,3
,· домова,20,6.64,8,40,6,0,1,0,1,1
,· от офиси,9,2.99,4,44.44,5,2,0,0,1,1
,· от магазини,167,55.46,142,85.03,114,46,17,5,5,4
,· на части и вещи от МПС,9,2.99,6,66.67,6,0,3,0,0,0
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",1,0.33,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",55,18.26,41,74.55,29,9,4,3,1,1
2.3.,"Измама (чл.209 - 211, 213 НК)",67,22.25,11,16.42,11,3,1,0,16,9
2.4.,Изнудване (чл.213а-214 а НК),5,1.66,0,0,0,0,0,0,0,0
2.5.,Други против собствеността,216,71.73,108,50,103,20,18,9,11,10
3,Общоопасни престъпления (чл.330-356 к НК),1132,375.91,771,68.11,742,68,26,34,132,131
3.1.,Палеж (чл.330-333 НК),51,16.94,4,7.84,5,0,0,0,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",14,4.65,7,50,7,0,0,0,2,2
3.3.,Посегателства спрямо МПС,15,4.98,2,13.33,2,0,0,0,4,4
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",8,2.66,2,25,2,0,0,0,4,4
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",6,1.99,0,0,0,0,0,0,0,0
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",1,0.33,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,360,119.55,341,94.72,338,36,15,14,15,14
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),346,114.9,339,97.98,336,36,15,14,15,14
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),14,4.65,2,14.29,2,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",248,82.35,143,57.66,140,13,9,4,22,22
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",1,0.33,1,100,1,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",186,61.77,135,72.58,134,13,9,4,21,21
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),60,19.92,6,10,6,0,0,0,1,1
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",2,0.66,2,100,2,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
